username,location,text,tweet_date,hashtags_extracted
Allison,"Treaty 7,  Calgary, Alberta ","@peteremcc Texas also let covid run rampant so that much of the population has already had #covid19.  Natural immunity is helping them along at this point but with vaccine hesitancy on the rise in the US, how long will that superficial success last?",2021-05-12 02:41:33,covid19
The Epoch Times Australia 🇦🇺,Australia,"Opinion by Professor Gabriël Moens 

#Sinovac, China’s #COVID19 vaccine, has now been made available globally.

""In Australia, there are claims that “Sinovac diplomacy” is a cynical effort by Beijing to take control of the COVID-19 narrative.""

https://t.co/3ZzqgGbqyV",2021-05-12 02:35:00,"sinovac,covid19"
Josh Jacobs Jingleheimer Shmidt,,Tik Tok took away this profile from Rebecca for these videos of her COVID vaccine causing a magnet to stick to her arm. In the comments I’m posting the videos that went against “community standards” #CoronavirusPandemic #COVID19 #CovidVaccine https://t.co/7mwdvT5C6N,2021-05-12 02:34:41,"coronaviruspandemic,covid19,covidvaccine"
Infoblaze Southeast Asia,Singapore,"30 fully vaccinated individuals test positive for Covid-19, with mild to no symptoms: Gan Kim Yong

LetsTalkCity #Singapore #HealthCare #Covid19_vaccine
 #SoutheastAsia  
https://t.co/ho2j0wPOY6
@SharonSeeBT
Via https://t.co/EUVKgaPmJI https://t.co/6cgskzBu5C",2021-05-12 02:31:15,"singapore,healthcare,covid19_vaccine,southeastasia"
Bill Koutalianos,"Sydney, Australia","Never mind the vaccine debate, just wait a few days and the rules will change: 
May 11 ""Ontario will no longer offer first doses of the AstraZeneca COVID-19 vaccine due to an increase in reports of rare blood clots""-toronto.ctvnews.ca #Covid19 #COVID19Vaccines https://t.co/4GdkhprxPx",2021-05-12 02:29:36,"covid19,covid19vaccines"
Denver Post Politics,"Denver, CO",GOP lawmakers want to make sure employers can’t force you to get COVID vaccine https://t.co/ziMxjQnTv7,2021-05-12 02:28:31,
healthmed.org,,"COVID 19 vaccination is currently going on in different parts of the world. Many have taken the complete dose; some are still waiting in the line. #Covid19 #covid19vaccine #vaccineandCBD #covid19vaccineandCBD #CBDproducts

https://t.co/2dd0ax2MGX https://t.co/nXdggCVPjN",2021-05-12 02:26:38,"covid19,covid19vaccine,vaccineandcbd,covid19vaccineandcbd,cbdproducts"
AJ Blackston - Financial IT Solutions Consultant,"Washington, DC",Oxford Researchers Focus On COVID-19 Reinfection https://t.co/bWLts3Qo4N  #TodaysMedicalUpdate #Medicine #Health #Patients #NHS #FMRevolution #Today #Insurance #Pharmaceutical #Biotech #COVID19 #Coronavirus #Doctor #Policy #Vaccine #MedTech Please Retweet,2021-05-12 02:25:12,"todaysmedicalupdate,medicine,health,patients,nhs,fmrevolution,today,insurance,pharmaceutical,biotech,covid19,coronavirus,doctor,policy,vaccine,medtech"
Disability Scoop,,Government officials are setting new expectations related to COVID-19 vaccines at institutions for people with #disabilities and similar rules are under consideration for group homes as well. https://t.co/jlSWfw9KdR #specialneeds #COVID19 #vaccine,2021-05-12 02:22:24,"disabilities,specialneeds,covid19,vaccine"
COVID-1984,,"Don't ever just call us conspiracy theorists again. We theorised this way before the idea of the covid vaccine passports were ever discussed in Parliament. This was their plan all along. Our freedoms are never going back to normal. 
#COVID19 #NoVaccinePassportsAnywhere https://t.co/cwOnxvjRjx",2021-05-12 02:21:22,"covid19,novaccinepassportsanywhere"
Al Arabiya English,Dubai,"President #JoeBiden says that almost half the world’s leaders have contacted him, asking for #US help in obtaining #COVID19 vaccines.

https://t.co/qcioS7uleg",2021-05-12 02:18:31,"joebiden,us,covid19"
Asthma Tipster,Across USA,"“Pfizer and BioNTech have started the regulatory process of seeking full approval for their Covid-19 vaccine” https://t.co/ivBIpu8PDC

#Covid #Covid19 https://t.co/3uZzZV5MPJ",2021-05-12 02:13:04,"covid,covid19"
Julia Hengstler,,"#COVID19: Recent deaths in Peterborough, #ON had first vaccine dose, but most before 2 week effective window https://t.co/IIkqrlmvns",2021-05-12 02:08:51,"covid19,on"
iniquitous prime,,Get vaccinated. Unless this how you want to be remembered. I've gotten my 2nd  @Pfizer vaccine 3 weeks ago with only a sore arm from the first shot ( reminded me of my 2nd tetanus shot) #covid19 https://t.co/WGTuZhVAw5,2021-05-12 02:08:48,covid19
KRoshan,,"#India reports new Covid Cases - 348426, Deaths - 4201, Recovered - 354682, Tests - 20.3L, Positivity - 17.1%, Vaccinations - 23.8L #B1617 #LongCovid #B1618 #SecondcovidWave #vaccine #MaskUp #vaccinate  #COVIDisAirborne #doublemutant #covid19 #B1618 #N440K https://t.co/n617FVDkvF",2021-05-12 02:06:17,"india,b1617,longcovid,b1618,secondcovidwave,vaccine,maskup,vaccinate,covidisairborne,doublemutant,covid19,b1618,n440k"
Business Standard,India,"#Karnataka, #Kerala, #TamilNadu, #Bengal, #Odisha, #Punjab showing continued increasing trend in daily new cases

Stay tuned for LIVE coronavirus coverage

#COVID19India #CoronavirusIndia #COVIDSecondWave #vaccine #CoronavirusPandemic 
https://t.co/WJaJa9sKmh",2021-05-12 02:05:14,"karnataka,kerala,tamilnadu,bengal,odisha,punjab,covid19india,coronavirusindia,covidsecondwave,vaccine,coronaviruspandemic"
Berth Larson,,Vietnam are working hard to ensure transportation is less of a barrier when comes to getting a COVID-19 Vaccine. #Vietnam #COVID19 #COVID19Vaccination,2021-05-12 02:05:04,"vietnam,covid19,covid19vaccination"
"Dr. Sultan Alfawaz, P.P. OTD, MA, BSc (Hons),OTR/L",Los Angeles|Riyadh|London,"@tahanialdhafeer @SaudiMOH @Saudi_FDA @moe_gov_sa ""FDA expanded the EUA for the Pfizer-BioNTech COVID-19 Vaccine for the prevention of #COVID19 to include adolescents 12-15 years of age. FDA amended the EUA issued on Dec. 11, 2020 for administration in individuals 16 years of age and older. https://t.co/cXieqLFQ7Y… @US_FDA",2021-05-12 02:03:43,covid19
Zeinobia is at home 🏡,Egypt,#Qatar : 50% of adult population had at least #COVID19 vaccine dose MOPH Announces 50 Percent of Adults Have Had At Least One COVID-19 Vaccine Dosehttps://t.co/1PD00USXw... via @24liveblog https://t.co/yMLYeqZvGk,2021-05-12 02:02:53,"qatar,covid19"
Cesar,,#BREAKING Are u a #superhero takin a stand against #covid? SHOW IT #covid19 #vaccine #marvel #comics #Pfizer #moderna https://t.co/De9COfxCcv,2021-05-12 02:02:37,"breaking,superhero,covid,covid19,vaccine,marvel,comics,pfizer,moderna"
Daniel Thompson,"Kenosha, WI","KENOSHA COUNTY ⏤ Kenosha County Health Officer Jen Freiheit told the county Health Board Tuesday that the new approach to fighting COVID-19 mirrors that used to fight polio in the mid-1900s.

#ThatKenoshaJournalist #covid19 #vaccination #kenosha #update https://t.co/b2ABCnLcwp",2021-05-12 02:01:35,"thatkenoshajournalist,covid19,vaccination,kenosha,update"
Kin On,"Seattle, WA","#COVID19 vaccination helps keep you from getting COVID-19. ""With just two small actions, we can help our community stay stronger than ever as we take one step closer to #CommunityImmunity. We can do it!"" - Nella Kwan, Miss Seafair 2015. Learn more: https://t.co/MnX5RkIrTr https://t.co/jkKr5xHqpg",2021-05-12 02:00:28,"covid19,communityimmunity"
"Erie County, NY","Erie County, NY","It's now even easier to get your COVID-19 vaccine—we'll come right to your home! Call the Erie County Department of Health (@ECDOH) at (716) 858-2929, 8:30 AM – 5 PM,  Monday – Friday, and sign-up for our new ""Vax Visits"" program.

More information: https://t.co/OqAwc6bUyk https://t.co/TmhwVfKQCW",2021-05-12 01:58:03,
UH Med JABSOM,"Honolulu, Hawaii","Local doctor uses TikTok to educate public about COVID-19 vaccine (featuring Dr. Kara Wong Ramsey, JABSOM  Assistant Professor of Pediatrics) https://t.co/Q7VCEGfwcD",2021-05-12 01:57:43,
John Basham 🇺🇲,"Fort Worth, TX",REPORT: A #Draper #Utah teenager is hospitalized with blood clots after getting the Experimental #COVID19 vaccine! https://t.co/ayUJZ0Ayex,2021-05-12 01:55:19,"draper,utah,covid19"
Stormont Vail Health,"Topeka, KS","To date, we have administered 81,218 vaccinations at our Vaccine Clinic at the Stormont Vail Events Center.  We have opened additional vaccine appointments. Click the link to schedule a COVID-19 vaccine appointment, https://t.co/KeFcK5CzS5. https://t.co/lLiD58SZrP",2021-05-12 01:45:05,
Satish Kumar,"New Delhi, India","Team @Grampathshala_ has decided to run #covid awareness (prevention &amp; vaccine) programs in rural India. 
#COVID19 #VaccineRegistration https://t.co/wRwFhtywFA",2021-05-12 01:42:51,"covid,covid19,vaccineregistration"
Burn-Out sous Toutenmakhron,,"@Aly_Meek @andrewbostom Since they cancelled #PRISM, the only active #vaccine surveillance system, just before the epidemic..
#COVID19 #Pfizer #Moderna
#vaccinodollars
https://t.co/6P0X7bdIaF",2021-05-12 01:42:47,"prism,vaccine,covid19,pfizer,moderna,vaccinodollars"
James Koumoundouros,,Fact Check: CDC Does NOT 'Admit' More Dead from COVID-19 Vaccine Than Vaccines Over Last 20 Years Combined Lead Stories https://t.co/RgNNO3h1v6 via @leadstoriescom,2021-05-12 01:42:15,
Brenda Gannon,"Brisbane, Queensland",@StefanieSchurer @GuardianAus @COVID19_AUS @COVID_Australia My GP here not administering..so we have to wait to be called. But have registered at least. NSW has Pfizer vaccine now for age 40-49 but not QLD..why?,2021-05-12 01:40:46,
Julia Hengstler,,"#BC doctors warned they could face discipline for spreading #COVID19 #misinformation | “some doctors are sharing false anti-vaccine and anti-mask ideas, as well as promoting treatments for COVID-19 that are not supported by scientific research” 😱🤯🤬 https://t.co/p5WQp0zmmB",2021-05-12 01:39:05,"bc,covid19,misinformation"
WRCB-TV,"Chattanooga, TN","'IT'S OUT OF MY CONTROL': Alexian Village on Signal Mountain has been doing everything possible to keep residents safe from Covid-19; but when it comes to requiring the vaccine for staff, an executive director said that's not possible. #CHAnews https://t.co/gJGERVuMuH",2021-05-12 01:33:00,chanews
Abhigyan,Down Under,"From a fiction writer, rikshaw puller to a news reporter, everybody wants to give an expert opinion on Governments, Vaccine Efficacy, Supply Chain, Covid Medicines and Treatment Plans. Can't people just stay out of social media until we are out of the woods. 
#CovidIndia #COVID19",2021-05-12 01:30:04,"covidindia,covid19"
MailMyStatements 🛡📬,Colorado,"CPT Codes Created for Novavax COVID-19 Vaccine, Administration https://t.co/RhoHOGLjLo via @RevCycleIntel #healthcare #covid19",2021-05-12 01:30:00,"healthcare,covid19"
Flashfox,"Carlsbad, California","Hmm ... ""too late"". I am at the stage where I don't care anymore for those who don't want to get vaccinated and get #COVID19. Thinning of the #QANuts &amp; #conspiracists crowd. 

COVID-positive Carlsbad man regrets vaccine hesitancy https://t.co/4CbVqbuehK",2021-05-12 01:28:28,"covid19,qanuts,conspiracists"
André Picard,,"Don’t deport me until I get my second dose of #COVID19 vaccine, health worker asks Canada, by @nkeung https://t.co/KsNa0YgYva via @torontostar #cdnpoli #vaccination",2021-05-12 01:21:23,"covid19,cdnpoli,vaccination"
RandomNews,,Canadian company wins #COVID19 #vaccine deal with #Bolivia – and #WTO support https://t.co/gpdab4Z5Vp,2021-05-12 01:20:01,"covid19,vaccine,bolivia,wto"
Unite against COVID-19,New Zealand,"@JennyKayNZ Kia ora Jenny, you can check which vaccine group you are in by using our online tool here: https://t.co/GYcr5Rc7Hx We are vaccinating Groups 1 &amp; 2 at the moment, and Group 3 from late May. We appreciate your patience.",2021-05-12 01:19:00,
(((Dorit Reiss))),"Bay Area, CA",Pfizer COVID vaccine authorized for use in 12-15-year-olds - https://t.co/18VkE8OGXI via @Shareaholic @skepticalraptor #covid19 #vaccines,2021-05-12 01:15:26,"covid19,vaccines"
FBC News Fiji,"Suva, Fiji","The World Health Organization says the so-called “vaccine diplomacy” needs to end and all nations around the world should be able to get their hands on the jabs.
#FBCNews  #FijiNews #Fiji #COVID19 
More: https://t.co/E9ZwGKc9rl https://t.co/yR2oZLhBVr",2021-05-12 01:11:48,"fbcnews,fijinews,fiji,covid19"
Charlene Davidson,"Ottawa, Canada",Received my COVID vaccine tonight!! So grateful for the opportunity and for the dedicated staff at the Nepean Sportsplex. Such a fast and efficient operation! ⁦@OttawaHealth⁩ #COVID19 #Ontario #Ottawa https://t.co/O4MHyQQ0BJ,2021-05-12 01:09:02,"covid19,ontario,ottawa"
CBCPAC,Washington D.C.,"The Anti-Vax population, according to recent studies, is not holding the nation back from being vaccinated. It’s a lack of vaccine mandates and convenience. #Vaccine #Covid19 #HerdImmunity

https://t.co/B4InXAA8DP",2021-05-12 01:09:01,"vaccine,covid19,herdimmunity"
Public Spectrum,"Sydney, New South Wales","A mass vaccination centre has been opened just this week by the NSW Government at Sydney Olympic Park as thousands are booked to receive the COVID-19 vaccine. 

Read more here ➡ https://t.co/gijD39Je4G

#vaccine #vaccinationcentre #COVID19",2021-05-12 01:05:59,"vaccine,vaccinationcentre,covid19"
PIOTR WRÓBLEWSKI,,"New post (As India halts vaccine exports, Nepal faces its own Covid crisis) has been published on Covid19 INFORMATION  NEWS  STATS - https://t.co/p3ixpFpKpC",2021-05-12 01:04:00,
IndiaToday,India,"Humanity above everything! Watch the heartwarming tale of Md. Azmat, an MNC worker, who volunteers to help in cremation of those who die of #Covid | @ShivAroor,  @nolanentreeo

#5iveLive #vaccine #vaccination #Covid19 #coronavirus #RE https://t.co/UOazzC1FuR",2021-05-12 01:00:01,"covid,5ivelive,vaccine,vaccination,covid19,coronavirus,re"
Viet Fact Check - Việt Kiểm Tin,,"Is the Pfizer/Moderna #COVID19 vaccine better than the Johnson &amp; Johnson vaccine? Rating: This claim is false. All of the vaccines are highly effective at preventing severe COVID-19 infections, hospitalizations, and death. 

https://t.co/TWlRHsSjj5 https://t.co/dRF9AtjeFA",2021-05-12 00:54:39,covid19
People's Daily app,"北京, 中华人民共和国","A plane carrying a third batch of #Sinovac #COVID19 #vaccine that #Cambodia acquired from Chinese biopharmaceutical company arrived in Phnom Penh, capital of Cambodia, on Tuesday. https://t.co/Ac71oevktC",2021-05-12 00:54:28,"sinovac,covid19,vaccine,cambodia"
Vomi_Médiatique,Latitude & longitude au Canada,"#Adverse Events of Special Interest (AESIs) for #COVID19 Vaccines Surveillance!#TECHNICAL #BRIEF
https://t.co/P6K1a7NviE #Ontario #Canada #healthcare
#SarsCov2 #Vaccine #experimental",2021-05-12 00:53:20,"adverse,covid19,technical,brief,ontario,canada,healthcare,sarscov2,vaccine,experimental"
Bermuda Red Cross,#9 Berry Hill Road,"Bermuda Government Daily Covid-19 stats Release May 11th, 2021

4 new cases
242 active cases
12 hospitalized
31 Decease 
2455 total confirmed cases

https://t.co/0FP7tSCHGF

#Bermudaredcross #Vaccine #BermudaGovernment #COVID19 #CovidVaccine #ministryofhealth #pressconference https://t.co/jPTl60yyMI",2021-05-12 00:53:12,"bermudaredcross,vaccine,bermudagovernment,covid19,covidvaccine,ministryofhealth,pressconference"
"ListenGive: #SDGS,  #UnitedNations, #NGOs, #ARTS",USA | Europe | Asia | GLOBAL ✈,Its important people do their due diligence in research in whats best for them. All vaccines are under EMERGENCY USE AUTHORIZATION with varying side affects &amp; not FDA approved.  #COVID19  https://t.co/8PUvbJwqkQ from @YaleMedicine - Updated regularly #NYC #Parents https://t.co/NyMjY5KTZl,2021-05-12 00:51:25,"covid19,nyc,parents"
WORLD UPDATES #coronavirus disease 2019 (COVID-19),United Kingdom,"UK.

On 11 May, 2,474 new cases and 20 deaths within 28 days of a positive test were reported across the UK. 

35,587,348 people have now received the first dose of a #vaccine and 18,088,385 have received a 2nd dose.

#coronavirus disease 2019 (COVID-19) #COVID19 #UK https://t.co/Wv4Xg2EYLl",2021-05-12 00:44:49,"vaccine,coronavirus,covid19,uk"
Marilyn Heine,,"#CDC’s new website, https://t.co/2LjUfoug0C, https://t.co/Q8J095GA5r for Spanish, has info on nearby vaccination sites, FAQ about #COVID19 #vaccine safety, cost, side effects, more. 

Or text your ZIP code to GETVAX, VACUNA for Spanish. #ThisIsOurShot https://t.co/aZ40jlCvz7",2021-05-12 00:40:45,"cdc,covid19,vaccine,thisisourshot"
Engage Voters U.S.,"New York, USA","House Democrats signed a letter to #Biden calling for the White House to temporarily waive patents and other intellectual property protections preventing developing countries from mass-producing COVID19 vaccines
@danielmarans via @HuffPost 👉 https://t.co/ZAkNCfyxuP
#EngageVoters https://t.co/KYpS4jtNsr",2021-05-12 00:40:02,"biden,engagevoters"
Eric Dargelies,San Francisco,"I just read an article someone sent to me while suggesting the COVID-19 vaccine killed animals in testing due to ADE or Antibody Dependent Enhancement. Going through the references in that article landed me here: https://t.co/2dVpsLgwV7
#covidvaccinedeaths #COVID19",2021-05-12 00:39:47,"covidvaccinedeaths,covid19"
Michael Hernandez,Los Angeles,"The @CDCgov says vaccinated folks can take off their masks. But that's not the advice of epidemiologists. What's wrong with this picture and who's driving policy?
#COVID19 #ngss https://t.co/PPxlJ2Vdu2",2021-05-13 23:57:13,"covid19,ngss"
SEC Adventists,"Mount Dora, FL","May 15, 4 pm EDT, join a COVID-19 Vaccine Symposium with healthcare, communication, and theological experts discussing how to make well-informed decisions about getting the vaccine. 
Send questions: covidquestions@nadadventist.org
Learn more: https://t.co/FyNL3Ft5Et  #covid19 https://t.co/f1KBWR9FCR",2021-05-13 23:54:41,covid19
CMHS Health,"Ventura County, CA",The COVID19 #vaccine is now available to Ventura County residents ages 16 and up. Want more information before you get vaccinated? Find the answers to your questions here: https://t.co/GArYIoomZB https://t.co/WUYmI1BSyO,2021-05-13 23:54:02,vaccine
christine,California ,"@public_archive Yankees catcher Gleybur Torres, vaccinated, tests positive for COVID19 after having before he was vaccinated 

https://t.co/SJtHHP2uHf",2021-05-13 23:51:14,
KRoshan,,"#India reports new Covid Cases - 342971, Deaths - 3997, Recovered - 340330, Tests - 21L, Positivity - 16.3%, Vaccinations - 19.7L #B1617 #LongCovid #B1618 #SecondcovidWave #vaccine #MaskUp #vaccinate  #COVIDisAirborne #doublemutant #covid19 #B1618 #N440K https://t.co/dVNLoWxwdV",2021-05-13 23:51:12,"india,b1617,longcovid,b1618,secondcovidwave,vaccine,maskup,vaccinate,covidisairborne,doublemutant,covid19,b1618,n440k"
fuller.renne,"Hamilton, Ontario",So I officially got my 1st covid19 vaccine tonight I just got home from my covid shot. This one was safer. But mostly all get side effects such as headaches fever and chills might be sick on my 3rd  day. Or could be tonight tomorrow. But I will update it.,2021-05-13 23:49:59,
OVCH,"Ojai, CA",The COVID19 #vaccine is now available to Ventura County residents ages 16 and up. Want more information before you get vaccinated? Find the answers to your questions here: https://t.co/00dPfynr0t https://t.co/trdrbXxJHa,2021-05-13 23:46:02,vaccine
Amir Farooqui,"Allahabad, India","Why GOI is not ordering other Covid 19 Vaccine when there is so much shortage of vaccine.
Let people decide and pay for what they choose.

#Covishield
#BharatBiotech
#AstraZeneca
#moderna
#PfizerVaccine
#Sputnikvaccine
#JohnsonAndJohnsonVaccine
#Sinopharm
#CovidVaccine 
#COVID19",2021-05-13 23:43:45,"covishield,bharatbiotech,astrazeneca,moderna,pfizervaccine,sputnikvaccine,johnsonandjohnsonvaccine,sinopharm,covidvaccine,covid19"
Emily,Chicago,so many anti covid vaccine people on my time line. they said they are going to lie when asked why not wearing a mask. WTF?! Now what? @CDCgov #CDC #COVID19,2021-05-13 23:34:33,"cdc,covid19"
XrpShinobi,,"@Dxron2 There’s nothing crazy in the vaccine, it’s just an rna signal so your body can develop the antibodies for Covid without actually getting Covid. People who got the SARS vaccine back in the day, a large portion of them are immune to covid19. There’s nothing spooky here",2021-05-13 23:33:55,
La Sierra University,"Riverside, Ca.","May 15, 4 pm EDT, join the NAD's COVID-19 Vaccine Symposium w/healthcare, communication, &amp; theological experts discussing how to make well-informed decisions about getting the vaccine. 
Send questions: covidquestions@nadadventist.org  Learn more: https://t.co/XmUDoTUsi7
#covid19 https://t.co/bjDSeKnkU0",2021-05-13 23:30:00,covid19
AZGirl,"Arizona, USA","@hkreid @ofirahy And yet the announcement today🙄🤦‍♀️ People are still getting #COVID19 after being fully vaccinated! Although luckily the vaccine is helping to make symptoms not as severe or death...but it’s not 100%. I’m a girl, I don’t want COVID long hauler issues or hair loss due to Covid. https://t.co/ARAe5RBuNv",2021-05-13 23:28:26,covid19
Milton,"Brooklyn, NY",@AnthonyRieber When it's being forced on you to get the Vaccine and then you see 6 guys get the virus after getting vaccinated not to mention one of them already have covid-19 once Someone has to explain to the public why this happened and how so no surprise. #Yankees #COVID19,2021-05-13 23:25:35,"yankees,covid19"
Daljit Singh,"London, England",Employers unite to encourage over a million staff to get the COVID-19 vaccine https://t.co/qL0MQvuUdN #Covid19  #Covid-19 #Coronavirus  #StayHomeStaySafe,2021-05-13 23:23:28,"covid19,covid,coronavirus,stayhomestaysafe"
AM800news,"Windsor, Ontario",The #COVID19 vaccine rollout started in late December in Windsor-Essex https://t.co/9hB1mAFKbC,2021-05-13 23:22:00,covid19
Hard Copy Politics,Worldwide,"Over-18s in Blackburn to get vaccine amid rise in COVID-19 cases 
https://t.co/CQ9adTVdsO
-via @inshorts",2021-05-13 23:21:08,
Rhino Chicago,"Chicago, IL","@Scudy23 @LongCovidNYC @JoeBiden Well no.  The vaccines trigger your body to naturally create immunity more reliably than getting COVID. It stops new viral variants, better protects you from them and from having severe/deadly symptoms.

https://t.co/4RilYbl2x3

https://t.co/McA8LqFF2n

https://t.co/dHCLlGQDPS",2021-05-13 23:20:32,
Sadsahoo,,"Government vows vaccine push, says will get 217 crore shots from August to December #covid #covid19 #india #vaccination #lockdown #news  https://t.co/7LbgW8cu7M",2021-05-13 23:20:24,"covid,covid19,india,vaccination,lockdown,news"
City of San Antonio🧼+👐=💯,"San Antonio, Texas","Here is today's COVID-19 update for #SanAntonio &amp; #BexarCounty, including the number who received their first vaccine &amp; those who are fully vaccinated, new &amp; total cases, 7-day rolling average of cases, deaths, individuals hospitalized &amp; in the ICU. More: https://t.co/WIQ66VmbMp https://t.co/U0S0p7T3CC",2021-05-13 23:20:02,"sanantonio,bexarcounty"
CureDisease,"Washington, DC","Doctors develop new pan coronavirus vaccine, which shows promising results in blocking COVID variants in animals 
https://t.co/puzLcdAswt #animalresearch  #coronavirus #COVID19",2021-05-13 23:20:02,"animalresearch,coronavirus,covid19"
Todd Hausman ♏️,"Chelan, WA","Americans who are fully vaccinated against the coronavirus may stop wearing masks or maintaining social distance in most indoor and outdoor settings, regardless of size via @CDCgov @nytimes https://t.co/dVjF7djebQ #COVID19 #coronavirus #CoronaVaccine",2021-05-13 23:18:42,"covid19,coronavirus,coronavaccine"
christine,California ,"@CDCgov telling us to take our masks off but 8 players have tested positive for COVID 19 in one week! 
Torres, vaccinated has COVID19 for the 2nd time 👀

https://t.co/m4UrVyJC17",2021-05-13 23:15:31,
SA Metro Health,"San Antonio, Texas","We are addressing your questions pertaining to COVID-19 vaccinations. Today's question is: Who is paying for the COVID-19 vaccines?  For more information about COVID vaccine, visit our FAQ’s page https://t.co/YINlzNy6IB https://t.co/fAF9c4C3p4",2021-05-13 23:15:05,
SA Metro Health,"San Antonio, Texas",Adolescents as young as 12 years old are now eligible to receive the Pfizer COVID-19 vaccine. Parental or guardian consent is required for the vaccination of minors. Find a vaccination mobile clinic site near you at https://t.co/7G75p0INIA NO APPOINTMENT NEEDED. https://t.co/XMXDh2W3qM,2021-05-13 23:14:57,
Ben Young,Colorado,"Did you know your body needs 14 days to build maximum protection after being fully vaccinated against COVID-19? The vaccines will protect you from getting the virus, giving you 90%+ immunity.  Get informed at https://t.co/Mq4CFeFxEG or call 877-CO-VAX-CO. #PowertheComeback https://t.co/jQWkihCtm4",2021-05-13 23:14:29,powerthecomeback
𝑨𝒃𝒃𝒚 ♡ follows back,safe place🏳️‍🌈❤ she/her,just got my first covid vaccine!!! #covid #covid19 #covid19vaccine #coronavirus #covidvaccine #coronavaccine #corona #coronavirusvaccine #1stcovidvaccine #1stcovid19vaccine #1stcoronavaccine #1stcoronavirusvaccine #firstcovidvaccine #firstcovid19vaccine #firstcoronavaccine https://t.co/wonedKYXB9,2021-05-13 23:14:25,"covid,covid19,covid19vaccine,coronavirus,covidvaccine,coronavaccine,corona,coronavirusvaccine,1stcovidvaccine,1stcovid19vaccine,1stcoronavaccine,1stcoronavirusvaccine,firstcovidvaccine,firstcovid19vaccine,firstcoronavaccine"
Diane Shears,"Toronto, Canada","""There is no doubt that this is a medical device intended to act as a pathogen factory that challenges the body's immune system.  It is a gene therapeutic, not a vaccine in the traditional sense of the word."" https://t.co/KennYl6h0E @GovCanHealth #COVID19 #cdnpoli #TOpoli #onpoli",2021-05-13 23:12:30,"covid19,cdnpoli,topoli,onpoli"
Inugo Obtuse (with a purpose),Gulag #122 - Fort St John,"I got coronavirus and also covid19. Now you want me to be injected w/ a vaccine that lowers my immunity?
Someone follow the science &amp; explain.
""the second BNT162b2 vaccine dose results in a reduction of cellular immunity in COVID-19 recovered individuals"" https://t.co/oPmbjV2Q6U",2021-05-13 23:12:24,
Baseroks1,,"@imbrue001 @ABC Actually people are still going in for COVID19 infections.
I estimated 90% + of those  would be unvaccinated.
It is like 99% of those going in are unvaccinated.
https://t.co/BAMmJHsTOq",2021-05-13 23:08:00,
The Australian,"Sydney, Australia","Australia’s Olympic swimmers have been granted special permission to delay their second COVID-19 vaccination shots after some of our top medal hopefuls experienced minor side effects from their first injections.
https://t.co/otNt8UiEzl",2021-05-13 23:07:00,
Jeff Henderson,The beautiful Black Hills!,"@Economoose @WHCOVIDResponse At least for the Novavax COVID vaccine trial, we are collecting data on level of immunocompromise, use of immunosuppressant medications, and degree of and durability of the immune response in reaction to the vaccine. #AICTRN #COVID19 #VaccineResearch",2021-05-13 23:05:53,"aictrn,covid19,vaccineresearch"
TopFeatured.com,Top Featured Businesses: GO 👉,"#Covid19 Surges In 4 Of 5 Most #Vaccinated Countries... more https://t.co/iVeEiHAiGF

#coronavirus #vaccine #health
 https://t.co/cUuAy5wFm1",2021-05-13 23:04:26,"covid19,vaccinated,coronavirus,vaccine,health"
André Picard,,"‘Humanity wins’: Canada postpones deportation of health worker at 11th hour so he can get second dose of #COVID19 vaccine, by ⁦@nkeung⁩ via ⁦@TorontoStar⁩ #COVID19  https://t.co/TfWgNzA5nN",2021-05-13 23:03:50,"covid19,covid19"
Healthcare Finance,United States,FDA grants Pfizer authorization for #COVID19 vaccine for children ages 12 to 15. #PopulationHealth #PopHealthIT https://t.co/KwFBua1OvN,2021-05-13 23:02:01,"covid19,populationhealth,pophealthit"
Dr Amarinder Singh Malhi MBBS/MD/DM@aiims_newdelhi,"@aiims_newdelhi AIIMS,ND,INDIA","This is time, when they don’t have to take Vaccine, it will aggravate your symptoms &amp; can cause COVID, as we are injecting Antigen, however in mild form and you already have symptoms of COVID19, it will cause additive effect &amp; people land in trouble, and (1/3)",2021-05-13 23:01:59,
Burt's Pharmacy,"Newbury Park, CA","Vaccinated women who breastfeed can pass #COVID19 protection to their babies. COVID-19 #vaccines aren’t considered a risk to infants during pregnancy or from breastfeeding. During the study, none of the women or infants experienced serious adverse events. 
https://t.co/76NF1AtMuc",2021-05-13 23:00:41,"covid19,vaccines"
KK LaFournaise ,"Los Gatos, CA","Where in #SantaClaraCounty you can find a mass vaccination site for #COVID19Vaccination for ages 12y and older, drop-ins welcome! Go get your vaccine 💉!! #modernavaccine and #PfizerVaccine available 

https://t.co/H8BmhXMyIx",2021-05-13 23:00:22,"santaclaracounty,covid19vaccination,modernavaccine,pfizervaccine"
MLPAO,"Ontario, Canada","ICYMI: #COVID19 Laboratory Services are included in the list of high-risk health care workers group eligible to receive their second vaccine dose at a shortened interval. Booking details coming soon. #MedLabThx

https://t.co/1RjflSwCf5",2021-05-13 23:00:09,"covid19,medlabthx"
Children's Health,Dallas,Today the @CDCgov updated guidelines for those fully vaccinated against #COVID19 stating they no longer need to wear masks or physically distance in many situations. Our expert shares more information about what you can do once you're fully #vaccinated. https://t.co/47irYpym7Q.,2021-05-13 23:00:08,"covid19,vaccinated"
