,text,favourite_count,retweet_count,created_at,username,location
32,"Covid-19 New Symptoms
#viral #explorepage #explore #trending #tiktok #like #instagram #love #memes #follow #lfl #music #likeforlikes #instagood #followforfollowback #cute #k #likes #indonesia #model #beauty #style #happy #art #nature #viralvideos #insta #life #india #bhfyp https://t.co/imCrZpnlpp",2,0,2021-05-10 17:36:07,Khabar Lallantop,
33,"#SAfrica #Mexico #India approved #ivermectin for medical professionals that reduces risk of contracting #Covid-19,  #FLCCC: ""it can end pandemic"" but.. #BigPharma couldn't agree
""#GretaT blamed #Beijing as worst polluter, forgot Japan' nuclear water""(GT)

https://t.co/u2VkYk0x0z",0,0,2021-05-10 17:34:36,MercoglianoTrueBlog,
34,Indian variant of Covid-19 confirmed in Thailand. #Thailand #Bangkok #covid19 #coronavirus #lockdown #India  https://t.co/KoDeeO1FQz,0,0,2021-05-10 17:33:46,Bangkok Explorer,Germany
35,UP #BJP MLA recommends cow #urine to stop spread of #COVID-19 (consult your doctor before taking any suggestions) #theindianexpress https://t.co/THx7qz1bjG #india #gov #deaths #hospitalizations #bombay #newdelhi #modi #mkt,0,1,2021-05-10 17:30:00,XO,
36,"Join us this Thurs. for a fundraiser + flash briefing on the COVID-19 crisis currently raging in India. This program is in partnership with @CARE &amp; @GlobalAtlanta. 

Register: https://t.co/PPZlQSnCpB
Donate: https://t.co/a0KLHZedjt
Please share w/ your network!

#India #COVID19 https://t.co/0eP5Pc2AnY",3,3,2021-05-10 17:27:06,World Affairs Council of Atlanta,"Atlanta, Ga"
37,"This is insane &amp; dangerous. Merck's Statement on #Ivermectin: ""No scientific basis for a potential therapeutic effect against #COVID19. No meaningful evidence for clinical activity or clinical efficacy."" #Goa #India https://t.co/eBtZtwW9Ue https://t.co/bEwYPcIvI2",0,0,2021-05-10 17:24:45,Joel Rodrigues,Portugal
38,"@sabyasakshi @paimadhu Merck's Statement on #Ivermectin: ""No scientific basis for a potential therapeutic effect against #COVID19. No meaningful evidence for clinical activity or clinical efficacy."" #Goa #India https://t.co/eBtZtwW9Ue",4,2,2021-05-10 17:24:20,Joel Rodrigues,Portugal
39,"Nepal asks Mount Everest climbers to return oxygen canisters amid oxygen shortage, surging cases #OxygenCylinders #Oxygen #Nepal #India #Coronavirus #COVID #COVID19 #COVID_19 https://t.co/tPqiqyzK1y",0,0,2021-05-10 17:21:00,The Pigeon Express,online
40,"Watch: Will the Covid -19 Crisis in India become more worse? (Link Below)

#Covid19
#Coronavirus
#Crisis
#India
#InternationalAid
#Nepal
#Bhutan

https://t.co/31mwpiiyiU https://t.co/XbddCQAGFI",0,0,2021-05-10 17:15:52,Gaurav Gupta,"Rampur, India"
41,"Chandigarh extends curfew by another week: Amidst the continuous spike in Covid-19 cases in Chandigarh, the Union Territory administration on Monday decided to extend the week-old curfew by another week. Non-essential shops will… https://t.co/1EprSNwQJ1 #India #NEWS #Punjab",0,1,2021-05-10 17:12:04,Weekly Voice,Toronto
42,Bodies of suspected COVID-19 victims found floating in Ganges in Bihar https://t.co/6Nq5CGuEmx #wowModi #HarHarModi #India very pathetic and unfortunate,0,0,2021-05-10 17:11:03,Gurcharan Singh,"Canada, USA"
43,"""India loses 116 medics in 25 days as infections surge to new highs"" https://t.co/O0j1Du7w7y #India #coronavirus #healthcareworkers",0,0,2021-05-10 17:07:11,Joanne Spruce,"British Columbia, Canada"
44,"India is the country with the highest growth in number of COVID 19 cases.
Source: Worldometers
#prayforindia
#indian
#india
#coronavirus
#covid
#covid19
#coronavirusindia
#covid19india
#pandemic
#update
#coronaupdate 
#worldnews
#coronaviruspandemic 
#prayfortheworld 
#cases https://t.co/pL37e44dRR",0,2,2021-05-10 17:03:57,Roberto Rekarov,
45,"India’s DCGI Issues Emergency Authorization for Ministry of Defense Sponsored COVID-19 Therapy Called 2-deoxy-D-glucose

https://t.co/C6hqG2dUkA

#2-DG #COVID-19 #Dr. Reddy’s #EUA #Glucose #India #Ministry #Defense https://t.co/xS98Oe3KPl",1,0,2021-05-10 17:00:47,TrialSite News,"Salt Lake City, Utah"
46,"COVID 19 cases in India until : 10/05/2021 22:30

Total Cases: 22967832 [+305284]😅
Active: 3711738🖖🏽
Recovered: 18996654 [+331192]❤
Deaths :249641 [+3493]🙏🏼
Total Tests: 303.75M🧪

Data- @covid19indiaorg
#CoronaVirus #COVID19inIndia #India #Bot",0,0,2021-05-10 17:00:00,Coronavirus Bot 🇮🇳,
47,"Trudeau non-committal on waiving intellectual property rights for COVID-19 vaccines

What is wrong with this conservative liberal?

#politics #canada #india 
 https://t.co/U0LQerRIV2",0,0,2021-05-10 16:59:36,Kevin F. D'Souza,Dubai - Toronto - Bangalore
48,"On April 13, India announced that Covid-19 vaccines cleared for use in US, UK, EU, and Japan will get fast-track approval in #India, and would not need prior bridging trial results to seek emergency use authorization (EUA).
#Pfizer #CovidVaccines 
https://t.co/Ew1vtbWdhF",8,12,2021-05-10 16:55:06,kaewmala 🌼 .|||.,Thailand 4.0
49,"Cremations of COVID-19 victims in New Delhi, #India. Calls for a nationwide lockdown have been growing as the number of new #COVID19 infections and related deaths stood close to record highs. 📸 epa/Idrees Mohammed

#Coronavirus #pandemic #lockdown #epaphotos #visualizingtheworld https://t.co/95i3xxOjvA",7,6,2021-05-10 16:55:04,european pressphoto agency,Worldwide
50,"One of my photograph I made during lockdown published in  @1854  
https://t.co/ASNXYtl3Ed
Thank you the journal collective for giving us the free space to share our views...
#britishjournalofphotography
#covid_19 #thejournal #magnumfoundation #india https://t.co/3tOt31ApxD",5,2,2021-05-10 16:54:59,Ranita Roy,India
51,"Vaccines are great, but sometimes you have to just treat the symptoms. 

This supplement can stop Cytokine storm. This supplement can stop COVID mortality
#mgcpharma
#India 
#covid 
#Brazil 
https://t.co/LGpXJtXF7q",0,0,2021-05-10 16:48:38,YNWA Red,
52,"There is information to suggest increased transmissibility and possibly some increased resistance to vaccine protection
#COVID_19 #variant #India #WHO #ofconcern #odishabytesnews #Odishabytes 
https://t.co/LKvdEVRe2W",0,0,2021-05-10 16:47:51,Odisha Bytes News,
53,#Ivermectin use in #India 🇮🇳 ‘Ivermectin to all above 18’ Goa approves new recommendations for all residents: COVID-19 treatment protocol | India News  https://t.co/wTHpPXZU0V,1,0,2021-05-10 16:44:02,"Joe Match,🌿rooted🌹Elders & Econ. need Ivermectin","Oxford🇬🇧, Council of Europe"
54,"""COVID-19 variant first seen in India designated as global concern, WHO says"" https://t.co/78felkX0d2 #coronavirus #variant #India #WHO",0,0,2021-05-10 16:43:23,Joanne Spruce,"British Columbia, Canada"
55,"A study found regular use of the oral antiparasitic drug #ivermectin could significantly reduce the risk of contracting #COVID19. 
#Goa #India #coronavirus #TheWeek @TheWeekLive https://t.co/3MC9eI0Y7w",0,0,2021-05-10 16:40:47,NachikeT KelkaR,"Mumbai, India"
56,"On this week's roundup:
The Network for Genomic Surveillance in South Africa (NGS-SA) has intensified the monitoring of confirmed Covid-19 cases from travellers arriving in South Africa. @IOL #covid19 #variants #India #UK 
https://t.co/QO9RoMVW78",0,0,2021-05-10 16:37:11,kelly-jane,
57,#Nepal vs #India: Daily new confirmed COVID-19 cases per million people (rolling 7-day average). We are now in worse situation than India. #StaySafe https://t.co/FQWmy9TR8I,15,15,2021-05-10 16:32:34,Ujjwal Acharya,Kathmandu
58,"Indian Church launches a free lunch service for relatives of Covid-19 patients hospitalized in the hospital. Reports @minjbijay
Read more… https://t.co/6P7mg1I669 #India #Jharkhand  #coronavirus #IndiaFightsCoronaVirus #COVID19 https://t.co/WwapoUe4aG",0,0,2021-05-10 16:32:29,UCAN  Indonesia,Jakarta
59,"Indian Church launches a free lunch service for relatives of Covid-19 patients hospitalized in the hospital. Reports @minjbijay
Read more… https://t.co/pVg2llBMLz #India #Jharkhand #COVID19 #coronavirus #IndiaFightsCoronaVirus https://t.co/HlSO1wUXiM",0,0,2021-05-10 16:32:29,UCAN India,India
60,"Indian Church launches a free lunch service for relatives of Covid-19 patients hospitalized in the hospital. Reports @minjbijay
Read more… https://t.co/pWxY6N7lJS #Jharkhand #COVID19 #coronavirus #IndiaFightsCoronaVirus #India https://t.co/JV6o0dp7Dr",0,0,2021-05-10 16:32:29,UCAN Sri Lanka,Sri Lanka
61,"Indian Church launches a free lunch service for relatives of Covid-19 patients hospitalized in the hospital. Reports @minjbijay
Read more… https://t.co/vsKJSh2xf3 #India #Jharkhand #COVID19 #coronavirus #IndiaFightsCoronaVirus https://t.co/ABAPTjHXbK",0,0,2021-05-10 16:30:00,UCA News,
62,"#India’s regulator has approved a new, oral #Covid-19 drug that promises to reduce hospitalisation time and #oxygen dependency for moderate to severe cases. The first 10,000 doses are expected to be available by next week.

https://t.co/CXicVsMjoE",0,0,2021-05-10 16:25:10,𝒩𝒾𝓈𝒽𝒾 𝒫🌸𝑒𝓂🇱🇰,
63,"Avoid Mass Gathering and Stop Covid-19
#stopcovid19 #india #stopcoronavírus #coronavirus #lockdown2021 https://t.co/EHSXRV80st",0,0,2021-05-10 16:24:36,PitchN,"101-L Lafayette Denver, Colora"
64,"#India Check COVID-19 / Government / Private hospitals list
 
https://t.co/bwsOZWnCgY                                                                      

#hospital #HospitalPlaylist #Medical #meditation #Gurgaon
#COVID19 #coronavirus #IndiaFightsCorona #Indian #Indian https://t.co/395g1IoMlL",0,0,2021-05-10 16:24:35,SchoolFinds,India
65,"🛺#Rickshaws, long part of #India's bustling cities, have recently also become a symbol of hope.

🇮🇳As the country battles a devastating second wave of #Covid-19, many rickshaws have been transformed into #ambulances, complete with oxygen tanks and medical supplies⤵️ https://t.co/S4bANMyI6N",27,20,2021-05-10 16:21:08,FRANCE 24 English,"Paris, France"
66,"#Corona Info for #India:
New Cases: 278106
Today Recovery: 304752
Today Deaths: 3037
Total Active Cases: 3721315
Total Cases: 22940516
Total Recovery: 18970018
Total Deaths: 249183
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0,0,2021-05-10 16:20:16,World Alert,"Karlsruhe, Germany"
67,"In #India's 🇮🇳 most populous state Uttar Pradesh, the state gov. has initiated house-to-house active case finding of #COVID19 in rural areas to contain transmission by testing people with symptoms for rapid isolation, disease management &amp; contact tracing
👉https://t.co/pbDi98UByQ https://t.co/7H2yXcU0if",625,175,2021-05-10 16:20:14,World Health Organization (WHO),"Geneva, Switzerland"
68,We're making plans to help some of our brothers in India. The covid-19 situation in #India is terrifying and urgent help must be given to India. We would love to support india by donating to them. Details to be shared below. #helpindia #CovidIndia,1,2,2021-05-10 16:19:08,Shib,
69,"#Covid19India | #India’s slow pace of #vaccination means that the country could remain vulnerable to further waves of the pandemic even once the current surge subsides, #Fitch said https://t.co/SlbO3rFNWD",0,0,2021-05-10 16:17:51,Money9,
70,"They revealed what life amid India's Covid-19 crisis is like.

https://t.co/yo08Q7tA4U

#India #CovidIndia #couple",0,0,2021-05-10 16:17:00,DESIblitz ®,United Kingdom
71,Deadly #Fungus Infection Found in #Covid19 Patients in #India : #mucormycosis old #enemy in #diabetes worrisome #killer now  https://t.co/KWKIaLtDaJ,0,0,2021-05-10 16:14:19,jjsteinberg,"The Bronx, NYC"
72,"COVID-19 variant first seen in #India designated as global concern, WHO says , mehr Details : https://t.co/zXFseD1sUI",0,0,2021-05-10 16:14:12,Jörg,Essen  - Germany
73,"MIC ORGANISATION UPDATE

DELHI ,GWALIOR, NOIDA UPDATE
OXYGEN RESOURCES AVAILABILITY 

VERIFIED UPDATE✅

don't pay in advance.

FOLLOW OUR COVID GUIDE FOR PAN INDIA INFORMATION
https://t.co/tPxlOSMJJj
#DELHI #GWALIOR #NOIDA #COVID19 #CoronaUpdate #leads #India #micorganisation https://t.co/CKlwC1rQOd",1,0,2021-05-10 16:10:12,MIC ORGANISATION INDIA,"Madhya Pradesh, India"
74,"We look at the impact in India...

https://t.co/CZoRajzOkh

#COVID19India #Covid #India #relationships",0,0,2021-05-10 16:07:00,DESIblitz ®,United Kingdom
75,"Despite harsh restrictions on their functioning, NGOs continue to play an essential role and reach the last last mile for benefit of people. 

The Government and the Prime Minister have to acknowledge that role. 

#corona #covid_19 #india https://t.co/ZR0tOuKlqp",6,7,2021-05-10 16:05:03,Achche Nationals,
76,"As India faces a deadly second wave of COVID-19, a new threat emerges: a rare infection called mucormycosis otherwise known as ""Black Fungus"".

Read more below.

https://t.co/5nzfES6cee

#COVID-19 #India #BlackFungus #CanadaWidePharmacy",1,1,2021-05-10 16:02:14,Canada Wide Pharmacy,"Vancouver, British Columbia"
77,"ICU in the world's largest makeshift COVID hospital in Delhi, #India 
Help us alleviate the crisis. Donate now: 
https://t.co/iMZtjOWHcu https://t.co/9pAyHjmkJU",3,3,2021-05-10 16:00:19,Oxfam International,
78,"COVID 19 cases in India until : 10/05/2021 21:30

Total Cases: 22967832 [+305284]😅
Active: 3711738🖖🏽
Recovered: 18996654 [+331192]❤
Deaths :249641 [+3493]🙏🏼
Total Tests: 303.75M🧪

Data- @covid19indiaorg
#CoronaVirus #COVID19inIndia #India #Bot",0,0,2021-05-10 16:00:01,Coronavirus Bot 🇮🇳,
79,"Donate Here: https://t.co/8kS9NIs79q
#BediFoundation #Covid19IndiaHelp #COVIDEmergencyIndia  #COVID19 #OxygenSOS #OxygenCrisis #Delhi  #coronavirusreliefaid #india #covid_19 #corona #coronavirus #oxygen #covidindia #covidsecondwave #coronaindia #covid19 #covid19indi https://t.co/JTRv5mTBjz",0,0,2021-05-10 15:58:19,Bedi Foundation,"New Delhi, India"
80,"SRH owners Sun TV Network donate Rs 30 crores to help in India's fight against second wave of Covid-19

#srh #sunrisershyderabad #ipl #IPL2021 #indiafightscorona #india #covi̇d_19 #covidvacccine #trendinginindia #trendinginourindia https://t.co/z6zgKNforw",1,0,2021-05-10 15:58:03,Trending In Our India,
81,"""Defeat COVID-19, we are all together"" was printed on boxes containing the first batch of anti-coronavirus supplies donated by China to #India. The supplies arrived in India Sunday. The Red Cross Society of China provides $1 million aid to India to combat #COVID19. https://t.co/DImyXjtcMZ",19,4,2021-05-10 15:53:19,libijian李碧建,"St.20,Block-4,Clifton,Karachi"
82,"#MiddayNews |

#India sees dip in infections, records 3.66 lakh #Covid19 cases and 3,754 deaths

https://t.co/BYvBA7KuQl",2,1,2021-05-10 15:50:12,Mid Day,"Mumbai, India"
83,"In Mumbai, #India health workers are conducting door-to-door campaigns, to raise awareness of #COVID_19 vaccine registration in an effort to stem the deadly second wave of #COVID_19. Help support UNICEF's work in India. Donate today: https://t.co/DEze7WzEDU https://t.co/Wep3Pu52fA",4,1,2021-05-10 15:50:07,UNICEF Canada,"Toronto, Canada"
84,#Pregnant woman is #Thailand's first #COVID19 case with #B1617 #variant from #India https://t.co/1vwjUHKKTK #news #feedly,0,0,2021-05-10 15:49:42,Giuseppe Michieli,Padova
85,"India's Covid-19 Challenge: A Crisis Management Perspective - by Major General S.B. Asthana    

#SBAsthana #Covid19 #Coronavirus #CoronaCrisis #India

https://t.co/jEk0NiNysV",0,0,2021-05-10 15:46:20,YesPunjab.com (For Punjabi follow @BawaHs),Punjab
86,WHO designates #India COVID-19 B.1.617 #variant as being of global concern  https://t.co/lWUJMU51RL,2,2,2021-05-10 15:43:01,Stephanie Nebehay,"Geneva, Switzerland"
87,"As India continues to battle against growing numbers of people infected with Covid-19, Modi’s US$1.8 billion project has come under increased scrutiny.  https://t.co/tXphBAQyNj

#globalconstruction #consructionnews #constructionproject  #India #indiafightscoronavirus https://t.co/uL57dWDjRL",0,0,2021-05-10 15:41:35,KHL Construction,
88,Locals believe the bodies were dumped because relatives could not afford burials or cremations. #FMTNews #India #GangesRiver #Covid19  https://t.co/FSp2qTtxOU,3,2,2021-05-10 15:40:21,Free Malaysia Today,Malaysia
89,"#Nepal, which shares a long border with hard-hit #India, is experiencing a meteoric rise in COVID-19 cases and facing an oxygen shortage https://t.co/Ikd9X3KTWw",0,0,2021-05-10 15:37:12,Open Access Gov,
90,"#BREAKING

WHO has classified Indian #COVID-19 virus variant, B.1.617, first identified in #India, as a variant of global concern. @WHO #IndianVirus https://t.co/NOeksNAdI7",21,7,2021-05-10 15:32:42,The A&O Board PSF 🇵🇸🇵🇰,Islamic Republic of Pakistan 
91,"#Israel to send teams of experts, pvt sector too steps in to provide equipment as #India battles #COVID19 spike: Envoy

https://t.co/qyRQUhkNVS",1,0,2021-05-10 15:30:27,Arushi Pradhan,
92,"#Israel to send teams of experts, pvt sector too steps in to provide equipment as #India battles #COVID19 spike: Envoy

https://t.co/iqGlrZU4OD",0,0,2021-05-10 15:29:09,Sumira Bashir,
93,"#Bollywood | Actor #SonuSood is bringing oxygen plants from #France and other nations for installing them at various places in #India.

#OxygenPlants #COVID19 #IndiaFightsCorona #IndiaStayStrong #CoronaWarriors @SonuSood 

https://t.co/XbnHsmDnHG",7,3,2021-05-10 15:28:21,First India,"Jaipur, India"
94,"To help #India in tackling the second wave of #COVID19, #Israel will b sending teams of experts, inclg a team to develop oxygen concentrators.

Adding that the private sector has also stepped in to assist the friendly country with equipment.

https://t.co/Tbq9nYMyUV",0,0,2021-05-10 15:26:40,Mansha Nazir,
95,"#Covid-19: Shortage of #Oxygen in #India
https://t.co/DzRpZkOy7D",0,0,2021-05-10 15:25:12,Pulmonary Medicine,
96,"#togetherforindia your donation can help @WHO scale-up its vital COVID-19 response.

In April, COVID-19 cases have increased by 52% in India. The shortage of medical supplies is proving deadly for thousands of people.
 
#StopCOVID-19 in #India visit https://t.co/RmyNAmA6OK https://t.co/i3rsczeVE8",9,7,2021-05-10 15:22:23,WHO Foundation,"Geneva, Switzerland"
97,"“Even prior to the pandemic, the rare fungal infection disproportionately affected Indian patients, with the prevalence of the infection estimated to be about 70X higher in India than the rest of the world.” #India ⁦@abcnews⁩ #COVID19 #BlackFungus https://t.co/nmrA4FTZdx",0,0,2021-05-10 15:22:03,Christina Ayiotis,United States
98,"#Corona Info for #India:
New Cases: 232085
Today Recovery: 240824
Today Deaths: 2509
Total Active Cases: 3739750
Total Cases: 22894495
Total Recovery: 18906090
Total Deaths: 248655
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0,0,2021-05-10 15:20:08,World Alert,"Karlsruhe, Germany"
99,"""We need to take precautions even after getting vaccinated. Need to think urgently about the approach in India's rural areas. Transparency in Covid-19 data is required"": Dr. Soumya Swaminathan, WHO Chief Scientist 

#COVID19 #Coronavirus #CovidVaccine #India | @sardesairajdeep https://t.co/HaK2TfmiUf",94,33,2021-05-10 15:19:35,IndiaToday,India
100,"COVID-19: Shipment from Spain carrying 10 oxygen concentrators, 141 ventilators arrives in India

Read More: https://t.co/8ftDXruI9h

#Spain #COVID19 #VentilatorRequirement #OxygenConcentrators #India",0,0,2021-05-10 15:18:32,First India,"Jaipur, India"
101,"In June 2020, #India’s credit rating was hit by a double downgrade by Moody’s and Fitch. Now as the country battles with catastrophic growth in #covid19 cases, the downgrade of India could trigger below its investment grade status https://t.co/hSjVPBun5L #indianeedoxygen https://t.co/awCNSkPNpn",0,0,2021-05-10 15:15:00,The Corner,Global
